label	f1	precision	recall
	0.882051282051282	0.900	0.8651911468812877
	0.6384615384615384	0.643	0.6335877862595419
	0.6111111111111112	0.786	0.5
	0.776	0.890	0.6879432624113475
	0.425	0.667	0.3119266055045872
	0.6029411764705882	0.554	0.6612903225806451
	0.6185567010309279	0.638	0.6
	0.6484018264840182	0.807	0.5419847328244275
	0.6796116504854369	0.745	0.625
	0.6341463414634146	0.578	0.7027027027027027
macro	0.6516281627558318	0.721	0.6129626559164539
micro	0.7345424567188789	0.793	0.684331797235023
