Vocabulary Size:  27710
Total number of model parameters: 77.62M
| epoch   2 | 14000/15983 batches | lr 20.00 | ms/batch 36.21 | loss  5.09 | ppl   162.50
| epoch   2 | 14500/15983 batches | lr 20.00 | ms/batch 36.25 | loss  5.03 | ppl   152.62
| epoch   2 | 15000/15983 batches | lr 20.00 | ms/batch 36.27 | loss  5.02 | ppl   151.40
| epoch   2 | 15500/15983 batches | lr 20.00 | ms/batch 36.24 | loss  5.03 | ppl   152.81
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 582.22s | valid loss  5.07 | valid ppl   158.66
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 20.00 | ms/batch 36.27 | loss  5.07 | ppl   158.71
| epoch   3 |  1000/15983 batches | lr 20.00 | ms/batch 36.24 | loss  5.07 | ppl   159.20
| epoch   3 |  1500/15983 batches | lr 20.00 | ms/batch 36.28 | loss  5.09 | ppl   161.61
| epoch   3 |  2000/15983 batches | lr 20.00 | ms/batch 36.22 | loss  5.02 | ppl   151.25
| epoch   3 |  2500/15983 batches | lr 20.00 | ms/batch 36.20 | loss  5.00 | ppl   147.92
| epoch   3 |  3000/15983 batches | lr 20.00 | ms/batch 36.19 | loss  5.04 | ppl   155.10
| epoch   3 |  3500/15983 batches | lr 20.00 | ms/batch 36.21 | loss  5.06 | ppl   157.04
| epoch   3 |  4000/15983 batches | lr 20.00 | ms/batch 36.21 | loss  5.05 | ppl   155.46
| epoch   3 |  4500/15983 batches | lr 20.00 | ms/batch 36.20 | loss  5.06 | ppl   157.09
| epoch   3 |  5000/15983 batches | lr 20.00 | ms/batch 36.19 | loss  5.06 | ppl   157.27
| epoch   3 |  5500/15983 batches | lr 20.00 | ms/batch 36.23 | loss  5.05 | ppl   156.11
| epoch   3 |  6000/15983 batches | lr 20.00 | ms/batch 36.18 | loss  5.06 | ppl   158.21
| epoch   3 |  6500/15983 batches | lr 20.00 | ms/batch 36.19 | loss  5.02 | ppl   151.72
| epoch   3 |  7000/15983 batches | lr 20.00 | ms/batch 36.19 | loss  5.04 | ppl   153.77
| epoch   3 |  7500/15983 batches | lr 20.00 | ms/batch 36.21 | loss  5.01 | ppl   149.30
| epoch   3 |  8000/15983 batches | lr 20.00 | ms/batch 36.21 | loss  5.07 | ppl   159.66
| epoch   3 |  8500/15983 batches | lr 20.00 | ms/batch 36.20 | loss  5.02 | ppl   151.20
| epoch   3 |  9000/15983 batches | lr 20.00 | ms/batch 36.20 | loss  4.98 | ppl   146.05
| epoch   3 |  9500/15983 batches | lr 20.00 | ms/batch 36.21 | loss  4.99 | ppl   147.57
| epoch   3 | 10000/15983 batches | lr 20.00 | ms/batch 36.22 | loss  4.98 | ppl   145.44
