Vocabulary Size:  27710
Total number of model parameters: 50.60M
| epoch   2 | 12500/15983 batches | lr 20.00 | ms/batch 24.24 | loss 28.39 | ppl 2135146489482.70
| epoch   2 | 13000/15983 batches | lr 20.00 | ms/batch 24.15 | loss 28.61 | ppl 2659098030091.53
| epoch   2 | 13500/15983 batches | lr 20.00 | ms/batch 24.18 | loss 28.25 | ppl 1850384490338.60
| epoch   2 | 14000/15983 batches | lr 20.00 | ms/batch 24.15 | loss 37.83 | ppl 26921861378485340.00
| epoch   2 | 14500/15983 batches | lr 20.00 | ms/batch 24.13 | loss 44.58 | ppl 22959339146159226880.00
| epoch   2 | 15000/15983 batches | lr 20.00 | ms/batch 24.14 | loss 46.12 | ppl 106852155948754403328.00
| epoch   2 | 15500/15983 batches | lr 20.00 | ms/batch 24.12 | loss 45.62 | ppl 65262560963498409984.00
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 388.18s | valid loss 43.90 | valid ppl 11651140121842630656.00
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 5.00 | ms/batch 24.15 | loss 14.71 | ppl 2446498.29
| epoch   3 |  1000/15983 batches | lr 5.00 | ms/batch 24.09 | loss 14.23 | ppl 1511945.88
| epoch   3 |  1500/15983 batches | lr 5.00 | ms/batch 24.09 | loss 13.76 | ppl 948238.49
| epoch   3 |  2000/15983 batches | lr 5.00 | ms/batch 24.08 | loss 14.06 | ppl 1281929.19
| epoch   3 |  2500/15983 batches | lr 5.00 | ms/batch 24.12 | loss 13.97 | ppl 1163383.61
| epoch   3 |  3000/15983 batches | lr 5.00 | ms/batch 24.08 | loss 13.91 | ppl 1104116.39
| epoch   3 |  3500/15983 batches | lr 5.00 | ms/batch 24.11 | loss 13.63 | ppl 833311.73
| epoch   3 |  4000/15983 batches | lr 5.00 | ms/batch 24.08 | loss 13.66 | ppl 859739.81
| epoch   3 |  4500/15983 batches | lr 5.00 | ms/batch 24.10 | loss 13.95 | ppl 1141573.87
| epoch   3 |  5000/15983 batches | lr 5.00 | ms/batch 24.08 | loss 14.12 | ppl 1356487.69
| epoch   3 |  5500/15983 batches | lr 5.00 | ms/batch 24.10 | loss 13.93 | ppl 1116803.14
| epoch   3 |  6000/15983 batches | lr 5.00 | ms/batch 24.09 | loss 13.69 | ppl 884832.83
| epoch   3 |  6500/15983 batches | lr 5.00 | ms/batch 24.08 | loss 13.78 | ppl 966502.45
| epoch   3 |  7000/15983 batches | lr 5.00 | ms/batch 24.10 | loss 13.96 | ppl 1158405.59
| epoch   3 |  7500/15983 batches | lr 5.00 | ms/batch 24.05 | loss 13.90 | ppl 1084444.37
| epoch   3 |  8000/15983 batches | lr 5.00 | ms/batch 24.10 | loss 14.00 | ppl 1203863.91
| epoch   3 |  8500/15983 batches | lr 5.00 | ms/batch 24.10 | loss 13.64 | ppl 836317.50
| epoch   3 |  9000/15983 batches | lr 5.00 | ms/batch 24.08 | loss 13.66 | ppl 852420.35
| epoch   3 |  9500/15983 batches | lr 5.00 | ms/batch 24.06 | loss 13.70 | ppl 890813.15
| epoch   3 | 10000/15983 batches | lr 5.00 | ms/batch 24.03 | loss 13.65 | ppl 851471.80
| epoch   3 | 10500/15983 batches | lr 5.00 | ms/batch 24.06 | loss 13.66 | ppl 853433.39
| epoch   3 | 11000/15983 batches | lr 5.00 | ms/batch 24.04 | loss 13.61 | ppl 817694.68
| epoch   3 | 11500/15983 batches | lr 5.00 | ms/batch 24.04 | loss 13.73 | ppl 922475.64
| epoch   3 | 12000/15983 batches | lr 5.00 | ms/batch 24.05 | loss 13.76 | ppl 947267.28
| epoch   3 | 12500/15983 batches | lr 5.00 | ms/batch 24.05 | loss 13.70 | ppl 887164.35
| epoch   3 | 13000/15983 batches | lr 5.00 | ms/batch 24.04 | loss 13.27 | ppl 581142.43
| epoch   3 | 13500/15983 batches | lr 5.00 | ms/batch 24.05 | loss 13.69 | ppl 880245.94
| epoch   3 | 14000/15983 batches | lr 5.00 | ms/batch 24.05 | loss 13.72 | ppl 910668.45
| epoch   3 | 14500/15983 batches | lr 5.00 | ms/batch 24.06 | loss 13.76 | ppl 947389.10
| epoch   3 | 15000/15983 batches | lr 5.00 | ms/batch 24.04 | loss 13.43 | ppl 677314.27
| epoch   3 | 15500/15983 batches | lr 5.00 | ms/batch 23.95 | loss 13.62 | ppl 819493.47
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 386.67s | valid loss 10.90 | valid ppl 54011.72
-----------------------------------------------------------------------------------------
| epoch   4 |   500/15983 batches | lr 5.00 | ms/batch 24.10 | loss 13.90 | ppl 1085982.87
| epoch   4 |  1000/15983 batches | lr 5.00 | ms/batch 24.08 | loss 14.16 | ppl 1413253.99
| epoch   4 |  1500/15983 batches | lr 5.00 | ms/batch 24.06 | loss 13.73 | ppl 915757.08
| epoch   4 |  2000/15983 batches | lr 5.00 | ms/batch 24.13 | loss 14.14 | ppl 1379782.32
| epoch   4 |  2500/15983 batches | lr 5.00 | ms/batch 24.13 | loss 13.56 | ppl 777425.60
| epoch   4 |  3000/15983 batches | lr 5.00 | ms/batch 24.16 | loss 13.60 | ppl 807543.76
| epoch   4 |  3500/15983 batches | lr 5.00 | ms/batch 24.14 | loss 13.68 | ppl 872564.60
| epoch   4 |  4000/15983 batches | lr 5.00 | ms/batch 24.16 | loss 13.50 | ppl 729896.61
| epoch   4 |  4500/15983 batches | lr 5.00 | ms/batch 24.14 | loss 13.81 | ppl 995414.08
| epoch   4 |  5000/15983 batches | lr 5.00 | ms/batch 24.12 | loss 13.88 | ppl 1067071.85
| epoch   4 |  5500/15983 batches | lr 5.00 | ms/batch 24.07 | loss 13.67 | ppl 865871.31
| epoch   4 |  6000/15983 batches | lr 5.00 | ms/batch 24.06 | loss 13.59 | ppl 800615.59
| epoch   4 |  6500/15983 batches | lr 5.00 | ms/batch 24.08 | loss 13.66 | ppl 855912.33
| epoch   4 |  7000/15983 batches | lr 5.00 | ms/batch 23.99 | loss 13.78 | ppl 963910.37
| epoch   4 |  7500/15983 batches | lr 5.00 | ms/batch 24.06 | loss 13.58 | ppl 790006.32
| epoch   4 |  8000/15983 batches | lr 5.00 | ms/batch 24.11 | loss 13.74 | ppl 930183.31
| epoch   4 |  8500/15983 batches | lr 5.00 | ms/batch 24.10 | loss 13.65 | ppl 846886.93
| epoch   4 |  9000/15983 batches | lr 5.00 | ms/batch 24.11 | loss 13.52 | ppl 740904.19
| epoch   4 |  9500/15983 batches | lr 5.00 | ms/batch 24.09 | loss 13.68 | ppl 871885.54
| epoch   4 | 10000/15983 batches | lr 5.00 | ms/batch 24.09 | loss 13.26 | ppl 574953.12
| epoch   4 | 10500/15983 batches | lr 5.00 | ms/batch 24.04 | loss 13.76 | ppl 944358.57
| epoch   4 | 11000/15983 batches | lr 5.00 | ms/batch 24.05 | loss 13.88 | ppl 1064722.79
| epoch   4 | 11500/15983 batches | lr 5.00 | ms/batch 24.08 | loss 13.58 | ppl 790978.97
| epoch   4 | 12000/15983 batches | lr 5.00 | ms/batch 24.03 | loss 13.51 | ppl 736777.99
| epoch   4 | 12500/15983 batches | lr 5.00 | ms/batch 24.03 | loss 13.62 | ppl 824465.50
| epoch   4 | 13000/15983 batches | lr 5.00 | ms/batch 24.04 | loss 13.59 | ppl 801451.38
| epoch   4 | 13500/15983 batches | lr 5.00 | ms/batch 24.04 | loss 13.54 | ppl 755759.70
| epoch   4 | 14000/15983 batches | lr 5.00 | ms/batch 24.02 | loss 13.70 | ppl 893023.12
| epoch   4 | 14500/15983 batches | lr 5.00 | ms/batch 24.03 | loss 13.47 | ppl 710969.15
| epoch   4 | 15000/15983 batches | lr 5.00 | ms/batch 24.04 | loss 13.49 | ppl 720047.35
| epoch   4 | 15500/15983 batches | lr 5.00 | ms/batch 24.05 | loss 13.40 | ppl 663029.43
-----------------------------------------------------------------------------------------
| end of epoch   4 | time: 386.86s | valid loss 12.31 | valid ppl 221832.28
-----------------------------------------------------------------------------------------
| epoch   5 |   500/15983 batches | lr 1.25 | ms/batch 24.13 | loss  7.91 | ppl  2731.03
| epoch   5 |  1000/15983 batches | lr 1.25 | ms/batch 24.09 | loss  7.88 | ppl  2640.62
| epoch   5 |  1500/15983 batches | lr 1.25 | ms/batch 24.09 | loss  7.87 | ppl  2608.39
| epoch   5 |  2000/15983 batches | lr 1.25 | ms/batch 24.09 | loss  7.83 | ppl  2519.28
| epoch   5 |  2500/15983 batches | lr 1.25 | ms/batch 24.08 | loss  7.72 | ppl  2257.36
