Vocabulary Size:  27710
Total number of model parameters: 11.75M
| epoch   1 |   500/15983 batches | lr 5.00 | ms/batch 12.19 | loss  7.09 | ppl  1205.84
| epoch   1 |  1000/15983 batches | lr 5.00 | ms/batch  7.19 | loss  6.65 | ppl   776.18
| epoch   1 |  1500/15983 batches | lr 5.00 | ms/batch  7.19 | loss  6.34 | ppl   564.34
| epoch   1 |  2000/15983 batches | lr 5.00 | ms/batch  7.20 | loss  6.05 | ppl   423.17
| epoch   1 |  2500/15983 batches | lr 5.00 | ms/batch  7.19 | loss  5.86 | ppl   351.49
| epoch   1 |  3000/15983 batches | lr 5.00 | ms/batch  7.19 | loss  5.84 | ppl   344.87
| epoch   1 |  3500/15983 batches | lr 5.00 | ms/batch  7.19 | loss  5.78 | ppl   324.62
| epoch   1 |  4000/15983 batches | lr 5.00 | ms/batch  7.20 | loss  5.75 | ppl   313.54
| epoch   1 |  4500/15983 batches | lr 5.00 | ms/batch  7.19 | loss  5.71 | ppl   300.48
| epoch   1 |  5000/15983 batches | lr 5.00 | ms/batch  7.22 | loss  5.66 | ppl   285.84
| epoch   1 |  5500/15983 batches | lr 5.00 | ms/batch  7.22 | loss  5.59 | ppl   268.99
| epoch   1 |  6000/15983 batches | lr 5.00 | ms/batch  7.22 | loss  5.58 | ppl   265.68
| epoch   1 |  6500/15983 batches | lr 5.00 | ms/batch  7.22 | loss  5.51 | ppl   248.28
| epoch   1 |  7000/15983 batches | lr 5.00 | ms/batch  7.21 | loss  5.51 | ppl   247.13
| epoch   1 |  7500/15983 batches | lr 5.00 | ms/batch  7.21 | loss  5.45 | ppl   232.31
| epoch   1 |  8000/15983 batches | lr 5.00 | ms/batch  7.20 | loss  5.51 | ppl   246.14
| epoch   1 |  8500/15983 batches | lr 5.00 | ms/batch  7.20 | loss  5.42 | ppl   225.04
| epoch   1 |  9000/15983 batches | lr 5.00 | ms/batch  7.19 | loss  5.36 | ppl   211.81
| epoch   1 |  9500/15983 batches | lr 5.00 | ms/batch  7.19 | loss  5.35 | ppl   210.27
| epoch   1 | 10000/15983 batches | lr 5.00 | ms/batch  7.21 | loss  5.33 | ppl   206.19
